ID,Name,City,Category,Ratings(5),Rating_count,Description,Address,Map-link,Review 1,Review 2,Review 3,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours
1,Panamburu Beach,Mangaluru,Beach,4.2,"15,446","Panambur Beach is located at a distance of 13 km from Mangalore to the south of Mangalore port. Every year it is visited by hordes of tourists and locals as it hosts several events like boat racing, kite festival and sand sculptures competitions. Despite a massive footfall, it is one of the cleanest beaches one can come across in the Western coastline of India. The name of the beach has been derived from 'Panam' meaning money and 'ur' meaning place.

It is the first beach in the country which is wholly owned by a private enterprise, i.e. the Panambur Beach Tourism Development Project. The motive is to educate the masses about the efficiency of keeping beaches clean. Owing to its excellent maintenance, the Panambur Beach has been awarded the cleanest and best-maintained beaches in India. Moreover, the beautiful beach is open to several events, promotional programmes, weddings, parties, etc.

The International Kite Festival is organised every two years at the Panambur Beach which is attended by tourists from all across the country. Also, a carnival of more local kite festivals is held at the beach during the last week of April. The beach is an essential landmark to the location of Mangalore Chemicals and Fertilizers Factory and Kudremukh Iron Ore Factory.","WRP3+QRH, Port Trust Panambur, NH 66, near New Mangalore",https://www.google.com/maps/place/Panamburu+Beach/data=!4m7!3m6!1s0x3ba35047685a26f9:0x4a85aeb7baf923ff!8m2!3d12.9369411!4d74.8046043!16s%2Fg%2F11cmycjx_1!19sChIJ-SZaaEdQozsR_yP5ureuhUo?authuser=0&hl=en&rclk=1,"Beautiful clean beach with soft white sand, well maintained that one can enjoy with family and friends. You have horse and camel rides options here. Looks like boat rides and parasailing options also available here. Floating bridge is also available at a change of Rs.150 per person. Parking facility at Rs.40 entry fee.",I visited the beach during weekday and it was not crowdy. Beach was clean and I could spend some quiet time during sunset. Many food stalls are available. Ample parking space is also available. It's a beautiful beach to witness sunset.,A good beach for the whole family with a lot of activities. You could also have a good view of the sunset and ships entering New Mangalore Port. There was a wait for nearly 20 minutes at the level cross just before the beach for the goods train to pass.,Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 7 PM,Sunday,9 AM to 7 PM
2,Tannirbhavi Beach,Mangaluru,Beach,4.5,"2,947","Tannirbhavi Beach is one of the popular beaches in the city. The coastline with golden sand and cool, fresh air is rejuvenating, and people are drawn to the natural beauty of the location. Proper seats and other facilities make the beach a frequently visited attraction, and it is crowded often on weekends and public holidays. Entering the sea is not advisable, but one can try their hand at one of the water sports at the beach. There are lifeguards to keep an eye and rescue in case of an accident, however, visitors are advised to be careful while entering the water. 

The beach only lately gained a lot of popularity with the installation of modern facilities like proper washrooms, parking spaces, lifeguards and several eatery stalls. A couple of concrete benches and sheds have also been installed and tall light masts are placed, for the safety and convenience of the tourists.","Kasba Bengre, Mangaluru, 575010",https://www.google.com/maps/place/Tannirbhavi+Beach/data=!4m7!3m6!1s0x3ba35a91911885a9:0x6a42103fb75e4e93!8m2!3d12.8913022!4d74.8138741!16zL20vMDluNDA0!19sChIJqYUYkZFaozsRk05etz8QQmo?authuser=0&hl=en&rclk=1,It is a great beach in mangalore with available ferry service. It is now a blue flag beach and it is an extremely clean beach. Changing rooms are available,Good beach. Nice setup for a relaxing time. A lot of food shops are there and also rest rooms are available. Safe and secure place.,Beautiful beach for those who are new to mangalore there are two ways to reach here u can go directly via road or u can go to sultan battery and take 2 mins boat for 15rs to reach this beach i would recommend the second option because it’s more fun,,,,,,,,,,,,,,
3,St. Aloysius Chapel,Mangaluru,Church,4.6,"2,145","St Aloysius Chapel is a Catholic Church and a famous attraction set atop the Lighthouse Hill and has a regal look which is breathtaking right from the entrance. The unique wall paintings of St. Aloysius Chapel are stunning and attract visitors in large numbers.

These paintings were painted in 1899 by Antonio Moscheni, an Italian Jesuit when he visited Mangalore on a mission in 1878. What we get to see are mostly restored paintings that have suffered damage over time but the charm and authenticity of St Aloysius Chapel are still very well maintained.  This is Mangalore's very own Sistine Chapel and offers a serene atmosphere to calm a troubled mind. The view of the Arabian Sea from the campus is worth the trip if one wishes to capture a part of the history and the natural landscape of this part of the city. ","P B No 720, P, B 720, St Aloysius College Rd",https://www.google.com/maps/place/St.+Aloysius+Chapel/data=!4m7!3m6!1s0x3ba35a48cdcdbf8d:0x395b3cb5ae67c7a2!8m2!3d12.8738451!4d74.8453427!16s%2Fm%2F02qvbj1!19sChIJjb_NzUhaozsRosdnrrU8Wzk?authuser=0&hl=en&rclk=1,"It is a must see, the frescos are comparable to any where in the world, better to get someone to guide you like the caretaker because there is a lot that needs to be explained.",I'd heard that the chapel has beautiful paintings. Nothing can prepare you for the number and beauty of the paintings here. Awesome!,A basic church with christian arts. It is located in the center of city easily accessible. The place is maintained well,Monday,"9 AM to 1 PM, 2:30 to 5 PM",Tuesday,"9 AM to 1 PM, 2:30 to 5 PM",Wednesday,"9 AM to 1 PM, 2:30 to 5 PM",Thursday,"9 AM to 1 PM, 2:30 to 5 PM",Friday,"9 AM to 1 PM, 2:30 to 5 PM",Saturday,"9 AM to 1 PM, 2:30 to 5 PM",Sunday,"9 AM to 1 PM, 2:30 to 5 PM"
4,Pilikula Nisargadhama,Mangaluru,Zoo,4.4,"3,639","Pilikula Nisargadhama is a famous Infotainment Park in Mangalore created amidst nature to provide a rejuvenating experience. In Tulu, the name Pilikula means 'a pool of Tigers'. The region was once the natural habitat of Tigers who would visit the lake to drink water. Pilikula attracts not just nature lovers but also botanists, zoologists and students who wish to study the vast variety of plants and animals found here. Tourists can explore the landscape, the dense rainforest and the ponds in the region. Other than the serene natural landscape, Pilikula Nisargadhama is also famous for a number of recreational and infotainment activities. They also have a zoo, a botanical garden, a water park, a science centre and an artisan village. 

The guides explain all the aspects of Pilikula Nisargadhama in detail for an enriching experience. If one is visiting between October and February, they can even spot a few migratory birds. This is one attraction that will take one into the past and to the future through the ambience created inside. This is also where one can find perfect harmony between humans and nature.","Pilikula Road Mudushedde, Post",https://www.google.com/maps/place/Pilikula+Nisargadhama/data=!4m7!3m6!1s0x3ba357646e89934d:0x88ac889de0417cb8!8m2!3d12.9272855!4d74.8991256!16s%2Fm%2F02rbgjb!19sChIJTZOJbmRXozsRuHxB4J2IrIg?authuser=0&hl=en&rclk=1,Very nice place for a day out with family. Has a water-park and beautifully landscaped gardens. I visited this place twice - first time with friends & the next with family. Suitable for both - family & friends.,This place has much improved than my previous visits. My family had a fun time in here learning about Mangalorean heritage. The planetarium and science centre was very modern and informative. The canteen in there was good too. You can take a buggy ride around if you have lesser time as the place is vast. It can still be better maintained and many of the staff in heritage activities were not there.,"A good place to see animals. It has got several kinds of animals and it is vast. Several kind of birds, wild animals, and natural habitats constructed for these animals are found here.",Monday,Closed,Tuesday,9:30 AM to 5:30 PM,Wednesday,9:30 AM to 5:30 PM,Thursday,9:30 AM to 5:30 PM,Friday,9:30 AM to 5:30 PM,Saturday,9:30 AM to 5:30 PM,Sunday,9:30 AM to 5:30 PM
5,Kadri Shree Manjunatha Temple,Mangaluru,Hindu temple,4.8,"10,939","Built in 1068 AD, this temple has the typical Hindu architectural style on the basic Vijaynagri style. It is situated at the base of the Kadri hills, the chief deity being Manjunatha. The temple has many caves around it as it is located on hillocks. These caves have depictions that go back to prehistoric times. Kadri was once the centre of Buddhism. Buddhism declined and the Natha Prantha, a new religion, came to being. They were believers of Lord Shiva and the devotees were called Jogis. The temple was renovated many times and the current structure was done in the 14th century.

The temple has an interest connection to Lord Parasurama as well. it is said that Lord Parashurama was asked to find a new abode called Kadrivana for Lord Shiva. Lord Manjunatha with his many wants stayed here, and with the help of Vishwakarma, the temple was constructed here. 

Behind the temple on the hill is the Kashi Bhageerathi Theerth. It is believed that the water comes from River Bhageerathi in Kashi. As a tradition, devotees visit here before entering the temple.",Kadri Rd,https://www.google.com/maps/place/Kadri+Shree+Manjunatha+Temple/data=!4m7!3m6!1s0x3ba35a3e64773ad1:0xe35d05aed8ff9308!8m2!3d12.8857227!4d74.8556295!16zL20vMGM2M25n!19sChIJ0Tp3ZD5aozsRCJP_2K4FXeM?authuser=0&hl=en&rclk=1,"It was in a must visit list we found on internet, its a very good temple quiet and clean. They have kund of holy water on the top which can be accessed through staircase",Excellent place to visit. Peaceful and quiet. Plenty of parking space available. Big temple premises.,"The gate of the temple throws a different picture and when you get inside the things are different. The long queues, but all peaceful, without any noise is the uniqueness observed.",Monday,"5:30 AM to 1 PM, 4 to 8 PM",Tuesday,"5:30 AM to 1 PM, 4 to 8 PM",Wednesday,"5:30 AM to 1 PM, 4 to 8 PM",Thursday,"5:30 AM to 1 PM, 4 to 8 PM",Friday,"5:30 AM to 1 PM, 4 to 8 PM",Saturday,"5:30 AM to 1 PM, 4 to 8 PM",Sunday,"5:30 AM to 1 PM, 4 to 8 PM"
6,Sultan Bathery,Mangaluru,Fort,4.2,"9,535","Tipu Sultan constructed this watchtower to keep a lookout for the entry of warships into the Gurpur River. The battery, made from black stones had been given the look of a miniature fortress. Not having withstood the test of time and extreme weather, this tower stands in ruins today. This is a popular tourist spot as you get beautiful views when on the battery. This is also a boating point to get to Thannirbhavi Beach.","VRQC+VCG, Sulthan Bathery Rd",https://www.google.com/maps/place/Sultan+Bathery/data=!4m7!3m6!1s0x3ba35a8c70ad2007:0x1c383a5ea4f3b5ab!8m2!3d12.8896981!4d74.8210911!16s%2Fm%2F0407l4_!19sChIJByCtcIxaozsRq7XzpF46OBw?authuser=0&hl=en&rclk=1,One of the peaceful places in Mangalore. It may look simple but the view is awesome specially sunset.,"There is an elevated watchtower and nothing more. The view from that place is amazing. You can look at the river, land and sea at the farthest.","With high hope visited this place. But, to the utter surprise the place is miserably maintained. Such a place which denotes the strategic mindset of the great Tipu Sultan needs urgent attention. Nice view of the surroundings.",Monday,9 AM to 7:30 PM,Tuesday,9 AM to 7:30 PM,Wednesday,9 AM to 7:30 PM,Thursday,9 AM to 7:30 PM,Friday,9 AM to 7:30 PM,Saturday,9 AM to 7:30 PM,Sunday,9 AM to 7:30 PM
7,Kadri Park,Mangaluru,Park,4.3,"3,379","This is the largest garden in Mangalore as well as the city's most popular picnic/jogging spot. Rare species of birds, anteaters and various other animals are seen in the animal conservatory. The park had undergone a massive renovation project which led to it being one of the most popular attractions in the city for people of all ages. It currently has a popular musical fountain show, a laser light show and also hosts flower shows throughout the year. The toy train here is a popular attraction for children as the train takes people around the park compound.",VVQ4+HFX,https://www.google.com/maps/place/Kadri+Park/data=!4m7!3m6!1s0x3ba35ba4fa92feed:0x88d5f9ac7cd17769!8m2!3d12.8889802!4d74.8562231!16zL20vMGIzdnZk!19sChIJ7f6S-qRbozsRaXfRfKz51Yg?authuser=0&hl=en&rclk=1,"A good place for morning walk, i have been using it from 2 months lots bunches sit & relax, but gets crowded on weekends",There is this train which childrens can ride at cheap rate and its spacious park for jogging and walk,Kadri hill park is a very famous and beautiful park in mangalore. Worthy visit. Variety of birds and reptiles are there.,Monday,6 AM to 8 PM,Tuesday,6 AM to 8 PM,Wednesday,6 AM to 8 PM,Thursday,6 AM to 8 PM,Friday,6 AM to 8 PM,Saturday,6 AM to 8 PM,Sunday,6 AM to 8 PM
8,New Mangalore Port,Mangaluru,Port,4.2,427,"New Mangalore Port, also known as New Mangalore Port Trust(NMPT) is an all-weather port at Panambur, Mangalore in Karnataka state in India, the total land area of the port is approximately 480 hectares or 1,186 acres. The New Mangalore Port is the deepest inner harbour on the west coast.[3] It is the only major port of Karnataka and the seventh largest port in India.[4] It is operated by New Mangalore Port Authority (NMPA).","WRMC+JG7, Indian Oil Tank Farm, Kasba Bengre, Panambur, Mangaluru, Karnataka 575010","https://www.google.com/maps/place/New+Mangalore+Port/@12.9272183,74.8142956,15z/data=!4m10!1m2!2m1!1sNew+Mangalore+Port!3m6!1s0x3ba3505dd6916385:0x793d97ddd9729069!8m2!3d12.934048!4d74.8212995!15sChJOZXcgTWFuZ2Fsb3JlIFBvcnSSAQ5wb3J0X2F1dGhvcml0eeABAA!16s%2Fg%2F1vg_5qpp?entry=ttu",This is a nice port which can be visited on the way to Panambur beach from Mangalore city. One of the must visit places in Mangalore.,"We been to beach, it's next port. So it's good to visite one of the biggest port. As its one the way to panambur beach you no need to spend extra time or effort to visite this place.","This port is extremely industrial and dispite a large plaque inside the terminal stating it was luxury, it was not. No ATM, no WiFi, tiny shop, toilets locked. Shuttle from the terminal was not wheelchair friendly so we could not leave the port! Taxis wanted to charge $50 for the short ride.",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours
9,Our Lady of Rosary Cathedral,Mangaluru,Church,4.6,486,"Rosario Cathedral is a 16th-century Roman Catholic church, also called Church of Our Lady of Rosary of Mangalore. It is a magnificent structure with a beautiful interior and one of the few places in Mangalore where one can find peace and tranquillity away from the chaotic city life. The magnificent cross and the dome on the Cathedral are said to be prominent features which are easily visible to the ships approaching the Mangalore Harbour. The Cross is lit every evening and serves as guiding light for fishermen and seamen.","Hoige Bazaar, Hampankatta, Mangaluru, Karnataka 575001","https://www.google.com/maps/place/Our+Lady+of+Rosary+Cathedral,+Mangalore/@12.8559848,74.8314395,17z/data=!4m6!3m5!1s0x3ba35a4eac44dc21:0xd6775ac5840fbc77!8m2!3d12.8559848!4d74.8363104!16s%2Fm%2F06408nl?entry=ttu",Nice church to visit. No rush even on Sundays don't know why. But very peaceful and beautiful church in manglore.,"Beautiful cathedral, with a dome structure having paintings of 12 apostles with Jesus painted wonderfully.",This is a beautiful church coming under the Archeological survey of India....nice paintings and art inside....good parking...near to forum fiza mall...church has 450 years history. It has resemblance of Vatican church....beautiful dome. Its is one of the tourist place...many foreigners visit this place.,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,Closed
10,Ullal Beach,Ullal,Beach,4.2,1102,"Ullal beach is a prime tourist attraction in the city. Located in Ullal, a small fishing village only 12 kms away from the city centre of the bustling city of Mangalore, Ullal beach mesmerises its visitors with a panoramic view of a long coastline and the majestic Arabian Sea. The entire coast of the serene Ullal Beach is flanked with tall lush casuarinas and dense palm trees that make it look like a scene from a beautiful painting. In fact, the beach is set in no less than 14-acre casuarina groves! These trees sway in the calming breeze at the beach and instil a sense of tranquillity within you.

The waters of the beach are very clean and invite you to take a dip. For the adrenaline junkies, there are arrangements for some water sporting activities that will pump up your blood with energy and are sure to excite you. You can treat yourself to some delicious small eats that are a local favourite. Lounging languorously on the Ullal beach is the perfect way to treat yourself after a long day- soaking in the beauty of the merger of the palm-fringed beach and the azure waters in the gentle breeze will revitalise and refresh you as nothing else will.

If you're out on vacation or plan to spend the weekend by the beach, you can explore the nearby attractions like the Someshwara Temple, St. Sebastian’s Church, Queen Abbakka's Fort and the Summer Sands Beach Resort. A trip to the Ullal beach is the ideal relaxation break you need from the monotony and hassles of daily life.","Ullal, Karnataka 575020","https://www.google.com/maps/place/Ullal+Beach/@12.8079688,74.8216508,14z/data=!3m1!4b1!4m6!3m5!1s0x3ba35c703139f605:0xa10c89aeedb36c7f!8m2!3d12.8075765!4d74.8422695!16s%2Fg%2F11c5rvx3yj?entry=ttu","Beautiful location. We went to Someshwara temple and then to the beach adjacent to the temple. Lovely, scenic place. This beach though has a lot of rocks and the waves are pretty rough as the dash against the rocks. Swimming here is NOT at all recommended.",This place is actually fare from city and not so many peoples are coming there I will not recommend for family.,Ullal Beach is a super beach to sit and relax. Not good to play in waters. Many local food items and snacks are available. People come here in the evening to relax here. The water flow is high and hence not much safe to play in waters.,,,,,,,,,,,,,,
