user_id,place_id,rating
1,77,4
1,143,4
1,148,4
1,91,5
1,55,4
1,42,4
1,70,4
1,144,5
1,153,5
1,59,5
1,119,1
1,87,2
1,133,1
1,3,2
1,106,1
1,101,1
1,81,1
1,88,1
1,84,1
1,26,1
2,70,5
2,75,5
2,99,5
2,141,4
2,91,5
2,143,4
2,66,4
2,55,4
2,108,5
2,130,4
2,32,1
2,33,1
2,49,2
2,14,2
2,67,1
2,87,2
2,88,1
2,110,1
2,39,1
2,61,1
3,62,4
3,70,4
3,148,5
3,64,5
3,146,5
3,153,4
3,48,5
3,65,4
3,139,5
3,144,5
3,33,1
3,114,1
3,17,1
3,52,1
3,152,2
3,103,1
3,121,2
3,6,1
3,21,2
3,150,1
4,91,4
4,130,5
4,90,4
4,65,5
4,31,5
4,66,4
4,143,5
4,137,4
4,77,4
4,75,5
4,28,2
4,46,2
4,135,1
4,115,2
4,88,2
4,13,2
4,113,2
4,114,2
4,36,2
4,121,2
5,62,5
5,148,4
5,102,5
5,77,5
5,80,5
5,107,5
5,97,5
5,158,5
5,100,4
5,99,4
5,106,1
5,109,2
5,88,2
5,5,2
5,116,1
5,53,1
5,43,1
5,121,1
5,149,2
5,26,2
6,77,5
6,108,5
6,137,4
6,158,4
6,148,5
6,55,5
6,142,5
6,98,4
6,146,4
6,73,4
6,21,2
6,15,1
6,18,1
6,115,1
6,111,2
6,20,2
6,46,2
6,159,1
6,13,1
6,24,1
7,91,5
7,73,5
7,38,5
7,90,5
7,145,4
7,63,5
7,70,5
7,75,5
7,144,5
7,66,5
7,27,2
7,110,2
7,109,2
7,123,2
7,1,1
7,87,2
7,150,1
7,50,2
7,12,2
7,21,2
8,153,5
8,54,4
8,148,4
8,140,5
8,137,5
8,151,4
8,80,4
8,141,5
8,104,4
8,63,4
8,132,1
8,14,2
8,83,2
8,152,2
8,154,1
8,119,2
8,122,2
8,57,1
8,49,1
8,116,2
9,90,4
9,48,4
9,151,4
9,136,4
9,54,5
9,139,5
9,80,5
9,143,4
9,137,4
9,144,4
9,119,1
9,131,1
9,49,1
9,84,2
9,157,1
9,74,2
9,120,2
9,50,2
9,156,2
9,160,2
10,142,5
10,30,5
10,130,4
10,100,4
10,95,4
10,63,4
10,48,4
10,140,4
10,90,5
10,42,4
10,61,2
10,119,1
10,49,2
10,22,1
10,3,1
10,1,1
10,52,2
10,11,2
10,13,1
10,69,1
11,137,5
11,31,4
11,91,5
11,38,5
11,54,5
11,144,4
11,77,5
11,70,4
11,30,5
11,59,5
11,4,2
11,43,1
11,8,1
11,87,1
11,110,1
11,156,2
11,13,1
11,114,1
11,157,2
11,103,2
12,73,5
12,54,5
12,104,5
12,30,4
12,153,4
12,99,4
12,151,4
12,145,5
12,59,4
12,136,4
12,2,2
12,53,2
12,83,1
12,29,2
12,7,2
12,154,1
12,16,2
12,138,1
12,126,1
12,58,1
13,139,5
13,140,5
13,97,5
13,108,5
13,73,5
13,70,4
13,31,5
13,54,4
13,59,4
13,48,5
13,33,1
13,26,2
13,74,2
13,60,1
